timestamp_ms,label,ax,ay,az,gx,gy,gz
48450,UNLABELLED,0.820923,0.503784,-0.401611,49.072262,-110.168449,56.640621
48469,UNLABELLED,0.777344,0.504028,-0.195068,55.419918,-109.008781,50.598141
48489,UNLABELLED,0.962524,0.480713,0.055664,52.490231,-98.876945,37.170410
48509,UNLABELLED,0.848022,0.400635,0.035522,57.006832,-105.407707,26.611326
48529,UNLABELLED,0.771973,0.352905,0.021484,81.848137,-112.792961,57.006832
48549,UNLABELLED,0.789917,0.503662,-0.032715,92.956535,-104.797356,64.392090
48569,UNLABELLED,0.761719,0.548706,-0.011841,71.716309,-109.924309,20.080564
48589,UNLABELLED,0.654785,0.465698,0.035278,58.166500,-107.788078,3.540039
48609,UNLABELLED,0.693726,0.490601,0.097046,42.724606,-83.374016,9.826660
48629,UNLABELLED,0.846191,0.644531,0.154541,34.667969,-70.312500,4.150391
48649,UNLABELLED,0.852295,0.629272,0.126709,42.602535,-86.059563,-5.981445
48669,UNLABELLED,0.805054,0.565063,0.151245,53.588863,-109.130852,-10.437011
48689,UNLABELLED,0.685181,0.522827,0.281860,58.166500,-111.999504,-15.930175
48709,UNLABELLED,0.667236,0.479126,0.360596,51.818844,-84.228508,-24.902342
48729,UNLABELLED,0.721558,0.436279,0.357056,38.940430,-56.030270,-25.878904
48749,UNLABELLED,0.754761,0.496582,0.286987,24.047850,-48.889156,-27.160643
48769,UNLABELLED,0.733643,0.500244,0.333618,14.892577,-50.964352,-27.282713
48789,UNLABELLED,0.737671,0.474121,0.426270,18.310547,-50.354000,-30.212400
48809,UNLABELLED,0.739380,0.440430,0.505493,27.526854,-45.166012,-34.423828
48829,UNLABELLED,0.749634,0.378052,0.465942,29.296873,-38.146973,-32.592773
48849,UNLABELLED,0.743896,0.341919,0.440796,22.827147,-48.889156,-26.306150
48869,UNLABELLED,0.732178,0.335327,0.486450,12.207030,-43.518063,-16.540527
48889,UNLABELLED,0.768555,0.379639,0.500366,3.479004,-35.644531,-12.451171
48909,UNLABELLED,0.773682,0.377930,0.494873,3.845215,-34.790039,-11.718749
48929,UNLABELLED,0.792847,0.403931,0.619385,9.826660,-32.409668,-11.291503
48949,UNLABELLED,0.819336,0.431763,0.511475,17.700195,-24.047850,-13.793944
48969,UNLABELLED,0.802246,0.403320,0.509155,21.484373,-35.034180,-17.700195
48989,UNLABELLED,0.794434,0.373535,0.559570,18.920898,-36.132812,-19.897461
49009,UNLABELLED,0.787964,0.349487,0.524658,15.075683,-30.578611,-22.155760
49029,UNLABELLED,0.778931,0.331421,0.560791,20.507811,-47.363277,-19.775391
49049,UNLABELLED,0.753906,0.285767,0.674927,27.832029,-54.382320,-16.845703
49069,UNLABELLED,0.747803,0.267212,0.688110,30.029295,-36.987305,-15.136718
49089,UNLABELLED,0.757690,0.335205,0.609863,31.433104,-25.878904,-14.221190
49109,UNLABELLED,0.750854,0.356323,0.570679,32.409668,-29.785154,-17.761230
49129,UNLABELLED,0.729980,0.344849,0.560913,35.400391,-37.170410,-23.925779
49149,UNLABELLED,0.723145,0.340576,0.568359,44.494625,-50.659176,-30.395506
49169,UNLABELLED,0.702759,0.282104,0.673462,51.208492,-63.171383,-37.475586
49189,UNLABELLED,0.694458,0.265015,0.616821,52.917477,-58.227535,-41.809078
49209,UNLABELLED,0.698975,0.317993,0.551636,52.551266,-66.894531,-46.813961
49229,UNLABELLED,0.668457,0.319946,0.522583,55.297848,-85.449211,-60.913082
49249,UNLABELLED,0.619629,0.309082,0.573608,60.485836,-106.079094,-78.674316
49269,UNLABELLED,0.570190,0.197388,0.742676,74.768066,-122.619621,-95.886223
49289,UNLABELLED,0.512695,0.111084,0.675781,98.510735,-120.483391,-101.867668
49309,UNLABELLED,0.496216,0.092285,0.569458,107.238762,-125.061028,-103.820793
49329,UNLABELLED,0.437134,-0.057983,0.756714,97.717278,-147.338867,-108.520500
49349,UNLABELLED,0.342407,-0.216064,0.946655,79.711914,-137.023926,-102.722160
49369,UNLABELLED,0.292603,-0.255371,0.915894,63.659664,-104.309074,-85.998528
49389,UNLABELLED,0.251831,-0.311890,1.073608,37.902832,-85.754387,-64.392090
49409,UNLABELLED,0.306030,-0.292603,1.192505,8.605957,-43.640133,-40.405270
49429,UNLABELLED,0.377197,-0.188110,1.004150,-10.375976,-3.479004,-28.503416
49449,UNLABELLED,0.351318,-0.217529,1.019653,-15.624999,-4.333496,-26.489256
104967,STATIONARY,0.588013,-0.317993,0.754272,0.610352,-0.061035,-0.549316
104987,STATIONARY,0.589722,-0.327026,0.757568,1.770019,0.122070,-2.075195
105007,STATIONARY,0.577881,-0.342529,0.755737,1.464844,-0.183105,-2.441406
105027,STATIONARY,0.571045,-0.348633,0.751709,0.610352,-0.061035,-0.976562
105047,STATIONARY,0.572144,-0.334961,0.744873,-0.549316,0.671387,1.159668
105067,STATIONARY,0.583496,-0.324585,0.748413,-1.159668,0.610352,1.586914
105087,STATIONARY,0.587402,-0.328369,0.754272,-1.220703,0.183105,0.610352
105107,STATIONARY,0.589600,-0.326050,0.752930,-0.671387,0.000000,0.061035
105127,STATIONARY,0.588623,-0.323853,0.753540,-0.305176,-0.183105,-0.610352
105147,STATIONARY,0.586060,-0.326782,0.755859,0.061035,-0.610352,-1.403808
105167,STATIONARY,0.581421,-0.333740,0.750610,0.366211,-0.671387,-1.831055
105187,STATIONARY,0.576294,-0.336792,0.744751,0.488281,-0.671387,-1.525879
105207,STATIONARY,0.573486,-0.335449,0.746460,0.305176,-0.549316,-0.976562
105227,STATIONARY,0.577271,-0.334595,0.752319,0.061035,-0.427246,-0.427246
105247,STATIONARY,0.582275,-0.326294,0.759155,-0.549316,-0.427246,0.000000
105267,STATIONARY,0.582153,-0.330933,0.764282,-0.549316,-0.305176,-0.732422
105287,STATIONARY,0.580688,-0.338623,0.755615,-0.305176,0.183105,-0.976562
105307,STATIONARY,0.578247,-0.337891,0.746338,-0.183105,0.427246,-0.366211
105327,STATIONARY,0.578613,-0.328979,0.748779,-0.610352,0.183105,0.244141
105347,STATIONARY,0.574219,-0.331177,0.756104,-0.793457,0.122070,0.000000
105367,STATIONARY,0.568481,-0.339844,0.755737,-0.671387,0.793457,0.244141
105387,STATIONARY,0.578857,-0.336426,0.749390,-0.854492,1.464844,1.281738
