timestamp_ms,label,ax,ay,az,gx,gy,gz
229517,WALKING,0.213135,-0.530518,0.828491,19.531250,7.873535,-15.624999
229537,WALKING,0.214966,-0.547241,0.804810,24.353025,13.183593,-23.803709
229557,WALKING,0.199219,-0.593384,0.778931,23.193357,15.747069,-28.747557
229577,WALKING,0.196167,-0.592529,0.773437,17.456055,13.671874,-26.550291
229597,WALKING,0.213501,-0.582886,0.784790,16.906738,9.216309,-24.536131
229617,WALKING,0.220703,-0.567993,0.777344,22.460936,2.807617,-28.015135
229637,WALKING,0.211182,-0.586060,0.767700,30.517576,-5.676269,-34.912109
229657,WALKING,0.190186,-0.606812,0.749634,35.888672,-15.502929,-41.076656
229677,WALKING,0.157959,-0.632202,0.741699,36.437988,-23.925779,-43.701168
229697,WALKING,0.134521,-0.653809,0.751221,34.790039,-28.625486,-43.395992
229717,WALKING,0.106689,-0.660278,0.749268,34.606934,-30.883787,-40.222164
229737,WALKING,0.074219,-0.691040,0.732178,32.592773,-28.137205,-35.766602
229757,WALKING,0.036499,-0.713135,0.734741,21.789549,-18.188477,-25.878904
229777,WALKING,0.061890,-0.687256,0.760010,12.329101,-4.394531,-11.047362
229797,WALKING,0.090820,-0.660889,0.755737,11.779784,7.507324,-6.164550
229817,WALKING,0.078491,-0.686523,0.711304,15.441894,11.779784,-5.676269
229837,WALKING,0.073364,-0.713013,0.692261,10.925292,11.962890,0.793457
229857,WALKING,0.090210,-0.697754,0.708496,2.258301,10.131835,9.216309
229877,WALKING,0.106567,-0.680176,0.728271,-1.586914,9.338379,13.122558
229897,WALKING,0.115967,-0.676514,0.734009,0.000000,10.498046,12.634276
229917,WALKING,0.123169,-0.678589,0.727417,3.234863,10.620116,11.352538
229937,WALKING,0.124390,-0.677002,0.722900,5.126953,10.253905,11.901855
229957,WALKING,0.130371,-0.691284,0.726074,7.690429,10.070800,10.314940
229977,WALKING,0.147095,-0.681641,0.724854,11.535644,7.812500,6.347656
229997,WALKING,0.159058,-0.663086,0.725220,17.822266,4.333496,-0.671387
230017,WALKING,0.153687,-0.667725,0.700684,30.395506,-3.967285,-13.244628
230037,WALKING,0.102661,-0.737671,0.663208,24.414061,-5.920410,-10.925292
230057,WALKING,0.090942,-0.742432,0.679810,11.413573,-0.305176,-1.098633
230077,WALKING,0.125610,-0.699951,0.721436,11.474608,7.507324,-0.305176
230097,WALKING,0.139404,-0.690918,0.726318,21.789549,12.207030,-7.019042
230117,WALKING,0.143066,-0.696899,0.703369,33.935547,11.840819,-14.221190
230137,WALKING,0.140137,-0.715576,0.668579,40.710445,8.483887,-19.897461
230157,WALKING,0.129395,-0.733032,0.636475,42.541500,1.770019,-22.216795
230177,WALKING,0.129517,-0.745850,0.615234,40.893551,-7.385253,-23.986814
230197,WALKING,0.098877,-0.774414,0.593628,33.142090,-14.465331,-22.460936
230217,WALKING,0.072388,-0.798096,0.610229,21.728514,-13.610839,-15.991210
230237,WALKING,0.074707,-0.778198,0.648560,18.066406,-5.737304,-11.962890
230257,WALKING,0.085449,-0.761353,0.651123,24.658201,1.098633,-12.634276
230277,WALKING,0.084717,-0.775513,0.621216,30.273436,3.845215,-14.343261
230297,WALKING,0.080444,-0.791504,0.594238,30.456541,2.929687,-14.465331
230317,WALKING,0.071167,-0.804077,0.580566,28.991697,-0.122070,-12.207030
230337,WALKING,0.067139,-0.809814,0.577393,27.404783,-2.685547,-8.666992
230357,WALKING,0.062622,-0.812134,0.578003,26.367186,-2.502441,-5.920410
230377,WALKING,0.064697,-0.813965,0.580688,26.672361,0.366211,-4.760742
230397,WALKING,0.075806,-0.809326,0.584351,29.235838,4.882812,-7.995605
230417,WALKING,0.089844,-0.800781,0.585205,36.315918,8.666992,-17.211914
230437,WALKING,0.099976,-0.806519,0.566895,47.973629,8.544922,-31.127928
230457,WALKING,0.084351,-0.821899,0.524292,56.640621,2.807617,-43.945309
230477,WALKING,0.055298,-0.841309,0.484863,59.265133,-7.080078,-50.231930
